# ========================================
# INGREDIENTES BASE Y PROPIEDADES FÍSICAS
# ========================================

# COLORES
tomate color rojo
salmon color naranja
repollo color verde

# TEXTURAS
queso textura cremosa
almendra textura crujiente
carne textura firme

# ========================================
# TAXONOMÍA DE INGREDIENTES
# ========================================

# GRANOS Y CEREALES
arroz tipo grano
pasta tipo grano
quinoa tipo grano

# LÁCTEOS
leche tipo lacteo
queso tipo lacteo

# FRUTOS SECOS
almendra tipo fruto_seco
nuez tipo fruto_seco

# CARNES
carne_roja tipo carne
pollo tipo carne
jamon tipo carne

# PESCADOS
salmon tipo pescado
sardina tipo pescado

# MARISCOS
gamba tipo marisco
pulpo tipo marisco

# LEGUMBRES
tofu tipo legumbre
lenteja tipo legumbre
garbanzo tipo legumbre

# VERDURAS
tomate tipo verdura
zanahoria tipo verdura
espinaca tipo verdura

# FRUTAS
manzana tipo fruta
limon tipo fruta
platano tipo fruta

# OTROS
huevo tipo proteina
aceite_oliva tipo grasa

# ========================================
# ALERGENOS Y RESTRICCIONES DIETÉTICAS
# ========================================

# ALÉRGENOS PRINCIPALES
leche contiene lactosa [0.95]
queso contiene lactosa [0.9]
pasta contiene gluten [0.95]
gamba contiene marisco_alergeno [1.0]
salmon contiene pescado_alergeno [1.0]
huevo contiene huevo_alergeno [1.0]
almendra contiene fruto_seco_alergeno [1.0]
tofu contiene soja_alergeno [0.95]

# RESTRICCIONES DIETÉTICAS
carne_roja apto_para vegano [0.0]
huevo apto_para vegano [0.0]
tofu apto_para vegano [1.0]
lenteja apto_para vegano [1.0]
jamon apto_para kosher [0.0]
pollo apto_para kosher [1.0]
pasta apto_para celiaco [0.0]
arroz apto_para celiaco [1.0]

# ========================================
# PROPIEDADES NUTRICIONALES
# ========================================

# PROTEÍNAS
carne_roja proteina alto [0.9]
salmon proteina alto [0.92]
tofu proteina alto [0.8]
lenteja proteina alto [0.75]

# CARBOHIDRATOS
arroz carbohidrato alto [0.95]
platano carbohidrato alto [0.7]
espinaca carbohidrato bajo [0.95]

# GRASAS
aceite_oliva grasa alto [0.98]
almendra grasa alto [0.88]
salmon omega3 alto [0.95]
queso grasa_saturada alto [0.7]

# FIBRA
zanahoria fibra alto [0.7]
lenteja fibra alto [0.9]

# VITAMINAS
limon vitamina_c alto [0.9]
zanahoria vitamina_a alto [0.95]
almendra vitamina_e alto [0.85]
espinaca vitamina_k alto [0.95]

# MINERALES
lenteja hierro alto [0.9]
queso calcio alto [0.95]
platano potasio alto [0.9]

# ANTIOXIDANTES
te antioxidante alto [0.92]

# ========================================
# SUSTITUCIONES
# ========================================
tofu sustituye carne_roja [0.8]
quinoa sustituye pasta [0.8]
semilla_chia sustituye huevo [0.7]

# ========================================
# CONSERVACIÓN
# ========================================
carne_roja conservar refrigerado [1.0]
salmon conservar refrigerado [1.0]
arroz conservar ambiente [1.0]
lenteja conservar ambiente [1.0]

salmon duracion_dias 2 [0.95]
carne_roja duracion_dias 3 [0.9]
arroz duracion_meses 12 [1.0]
lenteja duracion_meses 12 [1.0]

# ========================================
# SABORES
# ========================================
jamon sabor salado [0.95]
miel sabor dulce [0.98]
limon sabor acido [0.98]
salsa_picante sabor picante [0.98]
ajo sabor fuerte [0.9]
limon sabor fresco [0.85]
tofu sabor suave [0.9]
te sabor amargo [0.7]

# RECETAS
pasta_boloñesa tipo plato
pasta_boloñesa ingrediente carne_roja
pasta_boloñesa ingrediente pasta
pasta_boloñesa ingrediente tomate

salmon_horno tipo plato
salmon_horno ingrediente salmon
salmon_horno ingrediente limon

ensalada_vegana tipo plato
ensalada_vegana ingrediente tofu
ensalada_vegana ingrediente espinaca
ensalada_vegana ingrediente zanahoria

lentejas_estofadas tipo plato
lentejas_estofadas ingrediente lenteja
lentejas_estofadas ingrediente zanahoria
lentejas_estofadas ingrediente tomate

paella_marisco tipo plato
paella_marisco ingrediente arroz
paella_marisco ingrediente gamba
paella_marisco ingrediente salmon

hummus tipo plato
hummus ingrediente garbanzo
hummus ingrediente ajo
hummus ingrediente aceite_oliva

ensalada_frutas tipo plato
ensalada_frutas ingrediente manzana
ensalada_frutas ingrediente platano
ensalada_frutas ingrediente limon

tarta_almendra tipo plato
tarta_almendra ingrediente almendra
tarta_almendra ingrediente huevo
tarta_almendra ingrediente miel
